category,field_label,description,data_type,example_value,notes
Personal,full_name,"User's full name",text,"",""
Personal,pronouns,"User's preferred pronouns",text,"",""
Personal,age,"User's age in years",integer,,""
Personal,date_of_birth,"User's birth date",date,"","ISO-8601 format preferred"
Personal,gender,"User's gender",text,"","Optional"
Personal,nationality,"User's nationality",text,"",""
Personal,cultural_background,"User's cultural background",text,"","Optional"
Location,city,"User's city of residence",text,"",""
Location,country,"User's country of residence",text,"",""
Location,time_zone,"User's time zone",text,"",""
Living_Situation,household_composition,"Who the user lives with",text,"",""
Living_Situation,home_type,"Type of dwelling",text,"","e.g., Apartment, House, Condo"
Living_Situation,urban_rural,"Urban or rural area",text,"",""
Living_Situation,home_space_description,"Description of living space",text,"",""
Living_Situation,commute_time,"Typical daily commute time in minutes",integer,,""
Living_Situation,commute_mode,"Mode of transportation for commute",text,"","e.g., Car, Public Transit, Bike, Walk"
Health,height,"User's height in cm",integer,,""
Health,weight,"User's current weight in kg",float,,"Record regularly if weight is tracked"
Health,body_fat_percentage,"User's body fat percentage",float,,"Optional"
Health,waist_circumference,"User's waist circumference in cm",float,,"Optional"
Health,exercise_routine,"Summary of exercise habits",text,"",""
Health,medical_conditions,"List of medical conditions",text,"","Comma-separated if multiple"
Health,allergies,"List of allergies",text,"","Comma-separated if multiple"
Health,injuries,"List of injuries",text,"","Comma-separated if multiple"
Health,chronic_illnesses,"List of chronic illnesses",text,"","Comma-separated if multiple"
Health,dietary_habits,"User's dietary habits",text,"","e.g., Vegetarian, Vegan, Omnivore"
Health,dietary_restrictions,"Dietary restrictions",text,"","Comma-separated if multiple"
Health,liked_foods,"Foods the user likes",text,"","Comma-separated"
Health,disliked_foods,"Foods the user dislikes",text,"","Comma-separated"
Health,sleep_hours,"Average hours of sleep per night",float,,""
Health,sleep_quality,"User's sleep quality",text,"","e.g., Good, Fair, Poor"
Health,medications,"List of medications",text,"","Comma-separated if multiple"
Health,supplements,"List of supplements",text,"","Comma-separated if multiple"
Routines,daily_morning_routine,"Key steps in morning routine",text,"",""
Routines,daily_evening_routine,"Key steps in evening routine",text,"",""
Routines,work_routine,"User's work schedule",text,"",""
Routines,recurring_commitments,"Weekly commitments",text,"","Comma-separated if multiple"
Family,spouse_or_partner,"Spouse or partner name",text,"","Optional"
Family,children,"List of children",text,"","Include ages"
Family,parents,"List of parents",text,"","Optional"
Family,close_friends,"List of close friends",text,"","Comma-separated"
Family,caregiving_duties,"Any caregiving responsibilities",text,"",""
Family,shared_hobbies,"Hobbies shared with family",text,"","Comma-separated"
Education,highest_education,"Highest education level",text,"","e.g., High School, Bachelor's, Master's, PhD"
Education,degree,"Degree obtained",text,"",""
Education,certifications,"List of certifications",text,"","Comma-separated"
Career,work_history,"Summary of work history",text,"",""
Career,current_job,"User's current role or job title",text,"",""
Career,current_company,"User's current company",text,"",""
Career,responsibilities,"User's job responsibilities",text,"",""
Career,career_aspirations,"User's career goals",text,"",""
Career,professional_network,"List of professional contacts",text,"","Comma-separated"
Skills,hard_skills,"List of hard skills",text,"","Comma-separated"
Skills,soft_skills,"List of soft skills",text,"","Comma-separated"
Skills,languages_spoken,"Languages the user speaks",text,"","Comma-separated"
Interests,hobbies,"User's hobbies",text,"","Comma-separated"
Interests,creative_outlets,"Creative activities user engages in",text,"","Comma-separated"
Interests,gaming_preferences,"User's gaming interests",text,"","Optional"
Financial,income,"User's monthly income",float,,""
Financial,expenses,"User's monthly expenses",float,,"Sum of recurring bills, debts, etc."
Financial,debt,"User's current debt",float,,""
Financial,savings,"User's savings amount",float,,""
Financial,budgeting_style,"User's budgeting approach",text,"","e.g., No budgeting, Manual tracking, App-based"
Financial,financial_goals,"User's financial goals",text,"","Comma-separated"
Financial,revenue_streams,"Additional income sources",text,"","Comma-separated"
Past_History,significant_life_events,"Major life events",text,"","Comma-separated"
Past_History,past_goals,"Previous goals and outcomes",text,"",""
Past_History,lessons_learned,"Lessons from past experiences",text,"","Optional"
Past_History,recent_challenges,"Recent challenges faced",text,"",""
Current_Outlook,motivation,"User's primary motivation",text,"","Comma-separated if multiple"
Current_Outlook,accountability_preferences,"Preferred methods of accountability",text,"","Comma-separated"
Current_Outlook,communication_style,"Preferred communication style",text,"",""
Personal_Preferences,time_constraints,"User's time constraints",text,"",""
Personal_Preferences,personality_traits,"User's personality traits",text,"","Comma-separated"
Personal_Preferences,technology_preferences,"Preferred technology platforms or tools",text,"",""
Initial_Routines,morning_start,"Details of morning start",text,"",""
Initial_Routines,work_period,"Details of work period",text,"",""
Initial_Routines,evening_wind_down,"Details of evening wind-down",text,"",""
Initial_Routines,weekly_highlights,"Weekly regular activities",text,"","Comma-separated"
Future_Vision,start_goals,"User's initial goals or intentions",text,"",""
Future_Vision,project_interests,"Interests in new projects",text,"","Comma-separated"
Future_Vision,willingness_to_commit,"Time or effort user can dedicate",text,"",""
Logistics,dependencies,"Dependencies for tasks or goals",text,"","Comma-separated"
Logistics,ownership_structures,"Ownership details for projects or businesses",text,"","Optional"
Logistics,support_network,"Support network details",text,"","Comma-separated"
Shareholders,stakeholders,"List of stakeholders involved",text,"","Comma-separated"
Shareholders,ownership_percentage,"Ownership percentages for stakeholders",float,,"In alignment with stakeholders"
Shareholders,specific_rights,"Specific rights or roles of stakeholders",text,"","Optional"
